"","control","instnm","ccbasic","stabbr","death_yr2_rt","lo_inc_death_yr2_rt","md_inc_death_yr2_rt","hi_inc_death_yr2_rt","death_yr3_rt","lo_inc_death_yr3_rt","md_inc_death_yr3_rt","hi_inc_death_yr3_rt","death_yr4_rt","lo_inc_death_yr4_rt","md_inc_death_yr4_rt","hi_inc_death_yr4_rt","death_yr6_rt","lo_inc_death_yr6_rt","md_inc_death_yr6_rt","hi_inc_death_yr6_rt","death_yr8_rt","lo_inc_death_yr8_rt","md_inc_death_yr8_rt","hi_inc_death_yr8_rt","year"
"79",1,"Oklahoma State University-Main Campus",15,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"80",2,"University of Pennsylvania",15,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"81",1,"Utah State University",16,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002600297,NA,NA,NA,0.004857906,NA,NA,NA,"latest"
"82",1,"Old Dominion University",16,"VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"83",1,"North Carolina A & T State University",16,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"84",1,"Air Force Institute of Technology-Graduate School of Engineering & Management",16,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"85",1,"Bowling Green State University-Main Campus",16,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003614714,NA,NA,NA,0.003641092,NA,NA,NA,"latest"
"86",1,"Kent State University at Kent",16,"OH",0.001676337847,NA,NA,NA,0.001660538,NA,NA,NA,0.00304878,0.004297609,NA,NA,0.006448839,NA,NA,NA,0.005289673,0.006876228,NA,NA,"latest"
"87",2,"Azusa Pacific University",16,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"88",2,"Chapman University",16,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"89",1,"University of California-Berkeley",15,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"90",1,"University of California-Los Angeles",15,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"91",1,"University of Colorado Denver/Anschutz Medical Campus",15,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005799503,NA,NA,NA,"latest"
"92",1,"University of Kentucky",15,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003207932,NA,NA,NA,"latest"
"93",1,"Michigan Technological University",16,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"94",1,"New Jersey Institute of Technology",15,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"95",1,"University of New Mexico-Main Campus",15,"NM",NA,NA,NA,NA,NA,NA,NA,NA,0.004037213,NA,NA,NA,0.004316547,NA,NA,NA,0.004780876,NA,NA,NA,"latest"
"96",2,"Nova Southeastern University",16,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00671785,NA,NA,NA,NA,NA,NA,NA,"latest"
"97",1,"University of Idaho",16,"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"98",1,"Wichita State University",16,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006651017,NA,NA,NA,0.004070004,NA,NA,NA,"latest"
"99",2,"Tulane University of Louisiana",15,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"100",1,"University of Louisiana at Lafayette",16,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"101",1,"University of Maryland-Baltimore County",16,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"102",1,"University of Maryland Eastern Shore",16,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"103",2,"Johns Hopkins University",15,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"104",2,"Illinois Institute of Technology",16,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"105",1,"Southern Illinois University-Carbondale",16,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004603581,NA,NA,NA,"latest"
"106",1,"University of Iowa",15,"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"107",2,"Emory University",15,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"108",1,"Georgia Institute of Technology-Main Campus",15,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"109",1,"Boise State University",16,"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003500875,NA,NA,NA,NA,NA,NA,NA,"latest"
"110",1,"University of Massachusetts-Boston",16,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"111",2,"Boston University",15,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"112",2,"Brandeis University",15,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"113",1,"Central Michigan University",16,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003772836,NA,NA,NA,0.004420866,NA,NA,NA,"latest"
"114",1,"Eastern Michigan University",16,"MI",NA,NA,NA,NA,NA,NA,NA,NA,0.002592353,NA,NA,NA,NA,NA,NA,NA,0.006004503,0.008097166,NA,NA,"latest"
"115",2,"Tufts University",15,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"116",2,"Northeastern University",15,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"117",1,"Auburn University",15,"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004092262,NA,NA,NA,"latest"
"118",1,"Arkansas State University-Main Campus",16,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003718624,NA,NA,NA,"latest"
"119",1,"University of Arkansas at Little Rock",16,"AR",NA,NA,NA,NA,NA,NA,NA,NA,0.004886717,NA,NA,NA,0.007996446,NA,NA,NA,0.006989748,NA,NA,NA,"latest"
"120",1,"University of California-Santa Barbara",15,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"121",1,"Colorado School of Mines",16,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"122",1,"Colorado State University-Fort Collins",15,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003947368,NA,NA,NA,"latest"
"123",1,"Arizona State University-Skysong",16,"AZ",0.000705065625,NA,NA,NA,0.001548947,NA,NA,NA,NA,NA,NA,NA,0.002522629,0.003044413,NA,NA,0.003823774,NA,0.003521127,NA,"latest"
"124",2,"University of Tulsa",16,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"125",2,"Villanova University",16,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"126",1,"Texas A & M University-Corpus Christi",16,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"127",1,"University of Houston",15,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003495948,NA,NA,NA,"latest"
"128",2,"Rice University",15,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"129",1,"The University of Texas at Dallas",15,"TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004664179,NA,NA,NA,"latest"
"130",1,"The University of Texas at San Antonio",16,"TX",NA,NA,NA,NA,NA,NA,NA,NA,0.001827243,NA,NA,NA,NA,NA,NA,NA,0.005485087,0.005417957,NA,NA,"latest"
"131",1,"University of Vermont",16,"VT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"132",1,"University of Southern Mississippi",15,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003759398,NA,NA,NA,0.006127056,NA,NA,NA,"latest"
"133",1,"University of Missouri-Kansas City",16,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007637232,NA,NA,NA,"latest"
"134",1,"Rowan University",16,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004576659,NA,NA,NA,"latest"
"135",2,"Cornell University",15,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"136",2,"Yeshiva University",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"137",2,"Teachers College at Columbia University",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"138",1,"University at Buffalo",15,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00266809,NA,NA,NA,NA,NA,NA,NA,"latest"
"139",1,"University of North Carolina Wilmington",16,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"140",1,"University of North Carolina at Greensboro",16,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003051318,NA,NA,NA,0.005227552,NA,NA,NA,"latest"
"141",1,"Miami University-Oxford",16,"OH",NA,NA,NA,NA,0.003156385,NA,NA,NA,0.002646903,NA,NA,NA,0.006770955,NA,NA,NA,0.004359673,NA,NA,NA,"latest"
"142",1,"Cleveland State University",16,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003045995,NA,NA,NA,0.005506608,NA,NA,NA,"latest"
"143",1,"University of Toledo",16,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004044274,NA,NA,NA,"latest"
